STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Neighborhood,City
30248.0,S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),41280.0,True,False,True,False,False,False,False,False,False,False,"(41.970634, -87.760892)",Jefferson Park,Chicago
30247.0,N,Jefferson Park (O'Hare-bound),Jefferson Park,Jefferson Park (Blue Line),41280.0,True,False,True,False,False,False,False,False,False,False,"(41.970634, -87.760892)",Jefferson Park,Chicago
30219.0,N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),41150.0,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",Brighton Park,Chicago
30220.0,S,Kedzie (Midway-bound),Kedzie,Kedzie (Orange Line),41150.0,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",Brighton Park,Chicago
30202.0,W,Kedzie (54th/Cermak-bound),Kedzie,Kedzie (Pink Line),41040.0,True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",North Lawndale,Chicago
30201.0,E,Kedzie (Loop-bound),Kedzie,Kedzie (Pink Line),41040.0,True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",North Lawndale,Chicago
30225.0,N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),41180.0,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",East Albany Park,Chicago
30226.0,S,Kedzie (Loop-bound),Kedzie,Kedzie (Brown Line),41180.0,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",East Albany Park,Chicago
30207.0,E,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),41070.0,True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",Garfield Park,Chicago
30208.0,W,Kedzie (Harlem-bound),Kedzie,Kedzie (Green Line),41070.0,True,False,False,True,False,False,False,False,False,False,"(41.884321, -87.706155)",Garfield Park,Chicago
